Match: match at time 105:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 115:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 125:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 245:DUT_HRDATA: b2d28465, GOLDEN_HRDATA: b2d28465
Match: match at time 365:DUT_HRDATA: 65db0fcb, GOLDEN_HRDATA: 65db0fcb
Match: match at time 485:DUT_HRDATA: bd00807a, GOLDEN_HRDATA: bd00807a
Match: match at time 605:DUT_HRDATA: de344cbc, GOLDEN_HRDATA: de344cbc
Match: match at time 725:DUT_HRDATA: e1b764c3, GOLDEN_HRDATA: e1b764c3
Match: match at time 845:DUT_HRDATA: 73be9be7, GOLDEN_HRDATA: 73be9be7
Match: match at time 965:DUT_HRDATA: f692d8ed, GOLDEN_HRDATA: f692d8ed
Match: match at time 1085:DUT_HRDATA: bee9687d, GOLDEN_HRDATA: bee9687d
Match: match at time 1205:DUT_HRDATA: 22dd0745, GOLDEN_HRDATA: 22dd0745
Match: match at time 1325:DUT_HRDATA: 2a064154, GOLDEN_HRDATA: 2a064154
Match: match at time 1445:DUT_HRDATA: deadbeef, GOLDEN_HRDATA: deadbeef
ERROR: Mismatch at time 1745:DUT_HRDATA: 9585262b, GOLDEN_HRDATA: f2fc70e5
ERROR: Mismatch at time 1805:DUT_HRDATA: a38d5647, GOLDEN_HRDATA: 9585262b
ERROR: Mismatch at time 1865:DUT_HRDATA: 79dffdf3, GOLDEN_HRDATA: a38d5647
ERROR: Mismatch at time 1925:DUT_HRDATA: f2fc70e5, GOLDEN_HRDATA: 79dffdf3
Match: match at time 2045:DUT_HRDATA: 40c04bfb, GOLDEN_HRDATA: 40c04bfb
Match: match at time 2165:DUT_HRDATA: f9bd74a2, GOLDEN_HRDATA: f9bd74a2
Match: match at time 2285:DUT_HRDATA: 68c470a5, GOLDEN_HRDATA: 68c470a5
Match: match at time 2405:DUT_HRDATA: 840d1196, GOLDEN_HRDATA: 840d1196
Match: match at time 2525:DUT_HRDATA: 6bf09d17, GOLDEN_HRDATA: 6bf09d17
Match: match at time 2645:DUT_HRDATA: 24b5be83, GOLDEN_HRDATA: 24b5be83
Match: match at time 2765:DUT_HRDATA: 23dca814, GOLDEN_HRDATA: 23dca814
Match: match at time 2785:DUT_HRDATA: 23dca814, GOLDEN_HRDATA: 23dca814
Match: match at time 2795:DUT_HRDATA: 23dca814, GOLDEN_HRDATA: 23dca814
Match: match at time 2805:DUT_HRDATA: 23dca814, GOLDEN_HRDATA: 23dca814
Match: match at time 2815:DUT_HRDATA: 23dca814, GOLDEN_HRDATA: 23dca814
ERROR: Mismatch at time 2825:DUT_HRDATA: 23dca814, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2885:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2895:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2905:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2915:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2925:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2935:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 2945:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3005:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3015:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3025:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3035:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3045:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3055:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3065:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3075:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3085:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3095:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3105:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3115:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3125:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3645:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3655:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3665:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3675:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3685:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3695:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3705:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3715:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3725:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3735:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3745:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3755:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3765:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3775:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3785:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3795:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3805:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
Match: match at time 3815:DUT_HRDATA: xxxxxxxx, GOLDEN_HRDATA: xxxxxxxx
